program,p11,p12,p13,p14,p15,p16,p17,p18,p21,p22,p23,p24,p25,p26,p27,p31,p32,p33,p41,p42,p43,p44,p45,p46,p48,p51,p52,p53,p54,p55,p56,p61,p62,p63,p64,p65,p66,p71,p72,p73,p74,p75,p76,p81,p82,p83,p84
23,2,2,1,1,1,1,31,1,2,2,1,1,1,1,31,0,2,0,99,0,2,2,0,1,1,0,0,31,0,31,5,0,0,31,0,31,5,0,0,31,0,31,5,0,0,0,0
24,1,2,1,1,1,1,18,2,1,2,1,1,1,1,14,12,0,0,0,4,0,2,0,1,0,14,31,31,31,31,20,14,31,31,31,31,20,31,31,31,31,31,20,7,0,0,0
25,3,2,1,1,1,1,18,2,3,2,1,1,1,1,18,0,2,0,31,3,1,1,0,2,1,13,31,14,31,31,22,13,31,14,31,31,22,13,31,14,31,31,22,7,0,0,0
26,3,2,1,1,1,1,31,1,3,2,1,1,1,1,31,0,2,0,44,2,1,1,3,1,1,0,19,22,25,0,19,0,19,22,25,0,19,0,0,0,0,0,0,7,0,0,0
27,3,2,1,1,1,1,31,1,3,2,1,1,1,1,31,12,2,0,99,0,2,2,0,2,1,0,31,31,31,31,15,0,31,31,31,31,15,0,31,31,31,31,0,7,0,0,0
28,1,2,1,1,1,1,31,1,1,2,1,1,1,1,31,0,2,0,31,8,0,2,11,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
31,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,42,0,2,2,7,1,1,0,31,18,31,14,18,0,31,18,31,14,18,10,31,15,31,15,17,7,0,0,0
32,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,58,0,2,2,7,1,1,0,31,18,31,14,18,0,31,18,31,14,18,10,31,15,31,15,17,7,0,0,0
33,3,2,1,1,1,1,16,2,3,2,1,1,1,1,16,0,2,0,46,4,1,1,0,2,1,18,31,31,31,31,20,18,31,31,31,31,20,7,16,29,25,10,20,7,0,0,0
34,1,2,1,1,1,1,31,2,1,2,1,1,1,1,31,0,2,0,52,5,1,2,12,1,1,0,31,31,31,31,20,0,31,31,31,31,20,22,18,17,12,31,20,7,0,0,0
35,1,2,1,1,1,0,31,1,1,2,1,1,1,1,31,0,0,0,48,3,0,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
36,1,2,1,1,1,1,16,2,1,2,1,1,1,1,16,0,2,0,69,4,1,1,4,2,1,31,0,0,0,31,31,31,0,0,0,31,31,31,0,0,0,31,31,7,0,0,0
37,2,2,1,1,1,1,24,2,2,2,1,1,1,1,20,0,2,0,47,3,2,2,5,1,1,0,20,24,31,4,7,0,20,24,31,4,7,0,13,0,0,13,7,9,0,0,0
38,2,2,1,1,1,1,31,1,2,2,1,1,1,1,31,0,2,15,77,12,1,2,8,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,15,0,0,15
41,1,2,1,1,1,1,31,2,1,2,1,1,1,1,31,7,2,0,38,4,1,2,10,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
42,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,56,9,1,1,6,2,1,11,31,10,31,19,17,11,31,10,31,19,17,5,20,10,17,27,19,7,0,0,0
43,2,2,1,1,1,1,18,2,2,2,1,1,1,1,18,0,2,0,55,10,1,1,4,1,1,14,31,10,20,26,14,14,31,10,20,26,14,4,16,8,13,24,17,7,0,0,0
44,3,2,1,1,1,1,18,2,3,2,1,1,1,1,18,0,2,0,56,4,1,1,0,2,1,13,31,14,31,31,22,13,31,14,31,31,22,13,31,14,31,31,22,7,0,0,0
45,1,2,1,1,1,1,31,1,1,2,1,1,1,1,31,0,2,0,47,5,1,2,4,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
46,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,45,5,1,2,12,1,1,5,31,18,31,24,17,5,31,18,31,24,17,13,31,0,31,10,17,7,0,0,0
47,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,72,2,2,1,0,2,1,0,17,21,25,0,0,0,31,31,31,31,20,0,17,21,25,0,0,7,0,0,0
48,2,2,1,1,1,1,31,1,2,2,1,1,1,1,31,0,2,15,75,13,0,2,6,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,15,0,0,15
51,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,56,6,1,1,5,1,1,14,31,10,20,26,14,14,31,10,20,26,14,4,16,8,13,24,17,7,0,0,0
52,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,48,5,1,2,7,1,1,0,17,21,25,0,0,0,17,21,25,0,0,0,17,21,25,0,0,7,0,0,0
53,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,64,7,1,1,3,2,1,5,31,10,20,26,14,5,31,10,20,26,14,4,16,8,13,24,17,7,0,0,0
54,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,7,2,0,64,7,1,1,3,2,1,5,31,10,20,26,14,5,31,10,20,26,14,4,16,8,13,24,17,7,0,0,0
55,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,57,4,1,1,4,2,1,0,31,12,18,30,11,0,31,12,18,30,11,0,17,0,0,17,9,7,0,0,0
56,2,1,1,1,1,1,31,1,2,1,1,1,1,1,31,0,2,0,99,0,2,2,0,1,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
57,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,58,0,2,2,0,2,1,0,0,0,0,31,31,0,0,0,0,31,31,0,0,31,31,31,12,7,0,0,0
58,2,1,1,1,1,1,20,2,2,1,1,1,1,1,20,12,2,0,99,0,2,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
61,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,58,6,1,1,0,2,1,13,31,14,31,31,22,13,31,14,31,31,22,8,18,29,25,10,20,7,0,0,0
62,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,47,3,1,2,5,1,1,0,31,10,20,26,14,0,31,10,20,26,14,5,20,10,17,27,19,7,0,0,0
63,2,1,1,1,1,1,20,2,2,1,1,1,1,1,20,12,2,0,99,0,2,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
64,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,46,4,1,2,5,1,1,0,31,10,20,26,14,0,31,10,20,26,14,5,20,10,17,27,19,7,0,0,0
65,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,58,0,2,2,0,2,1,0,0,0,0,31,31,0,0,0,0,31,31,0,0,31,31,31,12,7,0,0,0
66,1,2,1,1,1,1,16,2,1,2,1,1,1,1,16,0,2,0,69,4,1,1,4,2,1,31,0,0,0,31,31,31,0,0,0,31,31,31,0,0,0,31,31,7,0,0,0
67,2,2,1,1,1,1,20,2,2,2,1,1,0,0,20,0,2,0,53,4,1,2,6,1,1,0,18,24,31,31,20,0,18,24,31,31,20,0,31,31,31,31,0,7,0,0,0
68,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,56,4,1,2,4,1,1,0,31,0,31,8,0,0,31,0,31,8,0,0,31,0,31,8,0,7,0,0,0
71,2,2,1,1,1,1,20,1,2,2,1,1,1,1,20,0,2,0,50,5,1,2,8,1,1,0,31,18,31,24,17,0,31,18,31,24,17,13,31,0,31,10,17,7,0,0,0
72,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,55,3,2,2,0,2,1,0,12,14,31,0,0,0,12,14,31,0,0,0,12,14,31,0,0,7,0,0,0
73,2,1,1,1,1,1,20,2,2,1,1,1,1,1,20,12,2,0,99,0,2,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
74,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,49,5,1,1,0,2,1,13,31,14,31,31,22,13,31,14,31,31,22,7,16,29,25,10,20,7,0,0,0
75,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,32,10,1,2,6,1,1,8,31,10,20,26,14,8,31,10,20,26,14,4,16,8,13,24,17,7,0,0,0
76,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,58,0,2,2,0,2,1,0,0,0,0,31,31,0,0,0,0,31,31,0,0,31,31,31,12,7,0,0,7
77,1,2,1,1,1,1,31,2,1,2,1,1,1,1,31,0,2,15,0,15,2,2,15,1,1,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,15,15,15,15
78,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,43,3,1,2,4,2,1,0,10,0,18,0,0,0,10,0,18,0,0,0,0,10,0,18,0,0,7,0,0,0
81,2,2,1,1,1,1,31,2,2,2,1,1,1,1,24,7,2,0,52,6,1,2,10,1,1,0,31,31,31,31,31,0,31,31,31,31,20,13,31,0,31,10,17,7,0,0,0
82,2,1,1,1,1,1,20,2,2,1,1,1,1,1,20,12,2,0,99,0,2,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
83,3,2,1,1,1,1,20,2,3,2,1,1,1,1,20,0,2,0,65,4,1,1,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,22,31,31,31,31,16,7,0,0,0
84,1,2,1,1,1,0,31,1,1,2,1,1,1,1,31,0,0,0,48,3,0,2,0,2,1,0,31,31,31,31,20,0,31,31,31,31,20,0,31,31,31,31,0,7,0,0,0
85,2,2,1,1,1,1,20,2,2,2,1,1,1,1,20,0,2,0,54,2,1,2,3,1,1,0,31,12,18,30,11,0,31,12,18,30,11,0,17,0,0,17,9,7,0,0,0
86,3,2,0,1,1,1,30,1,2,2,1,1,1,1,30,0,2,5,31,2,2,2,5,1,1,8,31,0,1,27,8,0,22,16,27,8,17,0,16,16,16,5,8,7,6,0,1
87,1,2,0,0,1,1,31,2,1,2,0,0,1,1,31,6,3,0,69,14,0,1,2,2,0,18,18,0,0,0,0,24,31,26,31,31,18,0,26,29,0,0,0,2,6,0,0
88,1,2,1,0,0,0,20,2,3,1,0,0,1,1,14,1,3,10,0,15,2,2,10,1,1,27,24,30,24,31,27,25,28,20,0,20,26,23,23,14,27,31,27,11,12,15,4
